../test/DIMACS/Loggi-n401-k23.vrp;0;356461;0.042631
../test/DIMACS/Loggi-n401-k23.vrp;0;353205;0.058108
../test/DIMACS/Loggi-n401-k23.vrp;0;351383;0.308685
../test/DIMACS/Loggi-n401-k23.vrp;0;350437;0.375403
../test/DIMACS/Loggi-n401-k23.vrp;0;349298;0.390351
../test/DIMACS/Loggi-n401-k23.vrp;0;347859;0.804977
../test/DIMACS/Loggi-n401-k23.vrp;0;347537;1.78358
../test/DIMACS/Loggi-n401-k23.vrp;0;347438;2.41052
../test/DIMACS/Loggi-n401-k23.vrp;0;346879;2.79181
../test/DIMACS/Loggi-n401-k23.vrp;0;346531;2.8007
../test/DIMACS/Loggi-n401-k23.vrp;0;346465;4.69284
../test/DIMACS/Loggi-n401-k23.vrp;0;345489;5.01157
../test/DIMACS/Loggi-n401-k23.vrp;0;343170;6.13706
../test/DIMACS/Loggi-n401-k23.vrp;0;342039;7.87163
../test/DIMACS/Loggi-n401-k23.vrp;0;340628;10.0395
../test/DIMACS/Loggi-n401-k23.vrp;0;339964;11.622
../test/DIMACS/Loggi-n401-k23.vrp;0;339859;27.3541
../test/DIMACS/Loggi-n401-k23.vrp;0;339820;32.9724
../test/DIMACS/Loggi-n401-k23.vrp;0;339259;40.8875
../test/DIMACS/Loggi-n401-k23.vrp;0;338930;82.9243
../test/DIMACS/Loggi-n401-k23.vrp;0;338681;169.367
../test/DIMACS/Loggi-n401-k23.vrp;0;338483;189.217
../test/DIMACS/Loggi-n401-k23.vrp;0;338383;236.768
../test/DIMACS/Loggi-n401-k23.vrp;0;338294;263.407
../test/DIMACS/Loggi-n401-k23.vrp;0;338253;273.748
../test/DIMACS/Loggi-n401-k23.vrp;0;338193;282.035
../test/DIMACS/Loggi-n401-k23.vrp;0;338103;305.034
../test/DIMACS/Loggi-n401-k23.vrp;0;338089;309.389
../test/DIMACS/Loggi-n401-k23.vrp;0;338050;329.315
../test/DIMACS/Loggi-n401-k23.vrp;0;338031;344.151
../test/DIMACS/Loggi-n401-k23.vrp;0;337780;349.576
../test/DIMACS/Loggi-n401-k23.vrp;0;337658;382.858
